zip,yr_id,name,households
91977,2020,"$45,000 to $59,999",1867
91977,2020,"$60,000 to $74,999",1937
91977,2020,"$75,000 to $99,999",2693
91977,2020,"$100,000 to $124,999",2240
91977,2020,"$125,000 to $149,999",2004
91977,2020,"$150,000 to $199,999",1975
91977,2020,"$200,000 or more",2160
91977,2021,"Less than $15,000",1252
91977,2021,"$15,000 to $29,999",1294
91977,2021,"$30,000 to $44,999",1981
91977,2021,"$45,000 to $59,999",1852
91977,2021,"$60,000 to $74,999",1885
91977,2021,"$75,000 to $99,999",2952
91977,2021,"$100,000 to $124,999",2047
91977,2021,"$125,000 to $149,999",2196
91977,2021,"$150,000 to $199,999",1982
91977,2021,"$200,000 or more",2284
91977,2022,"Less than $15,000",927
91977,2022,"$15,000 to $29,999",1280
91977,2022,"$30,000 to $44,999",2148
91977,2022,"$45,000 to $59,999",2170
91977,2022,"$60,000 to $74,999",1849
91977,2022,"$75,000 to $99,999",2914
91977,2022,"$100,000 to $124,999",1973
91977,2022,"$125,000 to $149,999",2134
91977,2022,"$150,000 to $199,999",2052
91977,2022,"$200,000 or more",2333
91978,2020,"Less than $15,000",123
91978,2020,"$15,000 to $29,999",191
91978,2020,"$30,000 to $44,999",259
91978,2020,"$45,000 to $59,999",164
91978,2020,"$60,000 to $74,999",346
91978,2020,"$75,000 to $99,999",335
91978,2020,"$100,000 to $124,999",478
91978,2020,"$125,000 to $149,999",162
91978,2020,"$150,000 to $199,999",424
91978,2020,"$200,000 or more",397
91978,2021,"Less than $15,000",91
91978,2021,"$15,000 to $29,999",265
91978,2021,"$30,000 to $44,999",271
91978,2021,"$45,000 to $59,999",167
91978,2021,"$60,000 to $74,999",346
91978,2021,"$75,000 to $99,999",334
91978,2021,"$100,000 to $124,999",356
